transientid,ML_PROB
844750,1.0
2097436,1.0
1625671,1.0
873221,1.0
1329976,1.0
2668712,1.0
2084698,1.0
504859,0.9999987
2057606,1.0
2667801,1.0
423113,1.0
1872028,1.0
771882,1.0
1629618,1.0
537777,1.0
1627689,1.0
617715,0.9999778
925577,1.0
2096188,1.0
1627788,0.7644212
1636331,1.0
380966,0.9999796
2667236,1.0
267710,1.0
1961848,1.0
2678369,1.0
2648149,1.0
2894891,1.0
1350778,0.9999999
1882815,1.0
1249209,0.9997887
512870,1.0
1871499,1.0
2310235,1.0
580057,1.0
1197518,1.0
1089633,1.0
375605,1.0
2542912,1.0
653214,1.0
1874532,1.0
2442896,1.0
2629969,1.0
904148,1.0
350154,1.0
2063069,1.0
1811186,0.99999726
903830,1.0
594860,1.0
635056,1.0
2668889,1.0
403104,0.99999905
2663674,1.0
1953417,1.0
208886,1.0
560092,1.0
2262634,1.0
2130046,1.0
212033,1.0
2908902,1.0
2206972,1.0
239861,1.0
2540254,1.0
1808237,1.0
2070248,1.0
1191371,0.99997807
207793,0.9995491
565483,1.0
34762,0.98570377
576696,1.0
1874613,1.0
1923354,1.0
406044,1.0
2444773,1.0
536278,0.9999864
1251583,1.0
351938,1.0
511624,0.99970335
1362635,1.0
580261,1.0
977744,1.0
1625613,1.0
2553381,0.9788184
2014842,1.0
1311317,0.99992526
413111,1.0
392857,1.0
6852,0.99999785
1253451,1.0
798882,1.0
1948837,0.9999957
1350364,1.0
2203965,1.0
2955764,1.0
2123200,1.0
1467390,1.0
244108,1.0
781605,1.0
1351103,1.0
1615931,1.0
1328896,1.0
774122,1.0
2108823,1.0
1876037,0.9999945
1639368,1.0
2638147,1.0
2190049,1.0
781267,1.0
2123216,1.0
1994750,1.0
2657204,1.0
211679,0.9999999
799596,1.0
928309,0.9999548
2442952,1.0
198646,1.0
1991129,1.0
3001476,1.0
2427693,0.98960423
618422,1.0
585296,1.0
2943052,1.0
1628678,1.0
926843,0.9997925
2434806,1.0
216458,0.9999995
820318,0.9913965
926680,0.99990165
1986800,1.0
1254185,1.0
2333202,1.0
977001,0.69136417
816194,1.0
903397,1.0
1469355,1.0
386185,1.0
1636290,1.0
1997509,1.0
1817082,1.0
542303,1.0
1328203,0.9999893
1120895,1.0
2666679,1.0
501416,1.0
2638143,1.0
1806985,1.0
926714,1.0
2683692,1.0
1917800,1.0
2901854,1.0
1635670,1.0
224242,1.0
404745,1.0
1609126,0.998808
1917897,1.0
964424,1.0
1620979,1.0
2431695,1.0
566619,1.0
2051580,1.0
207625,1.0
1991196,1.0
1350359,1.0
1810368,1.0
2669479,0.98925155
796541,1.0
536326,0.9999852
3002446,1.0
2089342,1.0
785873,1.0
538788,0.99990344
2996907,1.0
2133510,1.0
8982,0.99996555
227518,1.0
2911412,1.0
932171,0.997152
1285052,0.9999573
856998,1.0
2753043,1.0
150011,1.0
1874617,1.0
403814,0.99439394
1953815,0.999933
1871469,1.0
534024,1.0
1629628,1.0
2895519,1.0
927807,0.9998221
1654964,0.9995926
3001450,1.0
883363,1.0
2900108,1.0
540433,0.9999951
1052390,1.0
1319320,1.0
1351059,1.0
227676,1.0
1618432,1.0
184115,1.0
1635754,1.0
9454,1.0
1628067,1.0
2651169,0.9898544
541058,0.999928
735179,1.0
2541532,1.0
604585,1.0
885345,0.99999905
1095990,1.0
2133399,1.0
2185889,1.0
928481,0.99999225
2340180,1.0
926699,1.0
2460460,1.0
2670993,1.0
1266164,1.0
1967615,1.0
211812,1.0
6530,1.0
457288,1.0
2880501,1.0
2666798,1.0
268012,1.0
913131,1.0
1923214,1.0
2338177,0.99930894
353050,1.0
2463739,1.0
670415,1.0
1326532,1.0
2130036,1.0
1362891,1.0
239464,1.0
1882904,1.0
220500,1.0
6008,1.0
1350519,1.0
1362836,0.99999976
2129130,1.0
207355,1.0
1363152,1.0
2099218,1.0
781594,1.0
2547309,1.0
2097429,1.0
3000722,0.9999999
2880177,1.0
2684106,0.99999845
2679955,0.99999833
1935997,1.0
640553,1.0
2671399,1.0
648871,1.0
2234145,1.0
1629523,1.0
1629624,1.0
2330370,1.0
2070270,1.0
565086,1.0
860710,0.9999999
568673,1.0
2670232,1.0
601742,1.0
860906,1.0
2649559,1.0
2185912,1.0
2206976,1.0
1222226,0.9999993
2051576,1.0
1310422,1.0
1871996,0.87232095
2669460,1.0
1192209,1.0
1052427,0.95637
2671764,1.0
2234130,1.0
1468322,0.9983224
2047888,1.0
860105,1.0
1986799,1.0
2095178,1.0
1121527,1.0
1654943,1.0
1873380,1.0
1508199,1.0
1359308,1.0
1362879,1.0
1954588,0.99999976
221096,1.0
2431612,1.0
833438,1.0
1984362,1.0
1914381,1.0
1235696,1.0
2672045,1.0
533992,0.9997961
1399981,1.0
620540,1.0
1322086,1.0
2059828,1.0
2119201,1.0
7741,1.0
3000354,1.0
1237571,1.0
1362988,1.0
730230,1.0
1248826,0.99999595
1871534,1.0
209100,1.0
2669675,0.9991671
324814,1.0
2902730,1.0
2232640,1.0
5233,0.9998254
282497,1.0
926117,0.9548991
1999019,1.0
248368,0.9999999
863923,0.868345
215859,1.0
393788,1.0
537087,0.99999976
1350480,0.999997
2558836,1.0
1193186,1.0
2119169,1.0
37457,1.0
1998911,1.0
565239,1.0
239640,1.0
2665877,1.0
721137,1.0
410978,1.0
929058,0.999998
1719904,1.0
2081976,1.0
2549437,1.0
2908891,1.0
393299,0.98677945
573146,1.0
859306,1.0
962495,1.0
562873,1.0
1618421,1.0
227526,1.0
1875562,1.0
224143,1.0
835969,1.0
204720,1.0
1350308,0.91736615
2203884,1.0
2089339,1.0
622953,0.9999949
7028,1.0
9329,0.99995184
2683979,0.52062464
1097765,0.85586345
2577563,1.0
7045,0.99999785
1622438,1.0
2059775,1.0
2057555,1.0
1052442,1.0
1997607,1.0
1923071,1.0
931281,0.9923637
1313384,0.99999976
772828,1.0
1507713,1.0
2683671,1.0
2703650,1.0
2120205,1.0
801056,1.0
1188801,0.9999924
2628278,1.0
1923177,1.0
6071,0.9999888
2281808,1.0
239885,1.0
2169339,1.0
770512,1.0
541119,1.0
1663091,0.9999999
2427465,1.0
798839,1.0
497549,0.9996747
2651161,0.999244
799347,1.0
2671390,1.0
794910,1.0
853973,1.0
532081,1.0
1468965,1.0
211835,1.0
381886,1.0
222982,1.0
2345403,1.0
386141,1.0
1744981,1.0
1089771,1.0
745025,1.0
1873253,1.0
1954502,0.999907
534061,0.9989304
1816828,1.0
644327,1.0
1628072,0.99999833
629119,1.0
5923,0.9998018
2553391,1.0
499946,1.0
2894918,1.0
505786,0.7229654
1872018,1.0
535451,0.99634004
2063000,1.0
1597919,1.0
2996948,1.0
925674,0.99997175
1362943,1.0
198412,1.0
27259,1.0
1121483,1.0
2203978,1.0
733880,1.0
1204618,1.0
2123241,1.0
1628618,1.0
1923329,0.9999999
1817608,1.0
1237786,1.0
928932,0.99999976
2133474,1.0
533591,1.0
2060943,1.0
1467546,1.0
182676,1.0
1984162,1.0
1098161,1.0
751999,1.0
1997652,1.0
19062,1.0
239801,1.0
1257674,0.9997632
2185973,1.0
6204,1.0
2649656,1.0
1310402,1.0
733676,1.0
2678476,1.0
7911,1.0
2206973,1.0
925569,0.99999976
635818,1.0
2339435,1.0
2669455,1.0
1746416,1.0
1637624,1.0
1053463,1.0
1625677,1.0
596976,1.0
2057539,1.0
780415,1.0
621185,1.0
1199032,1.0
863044,1.0
527835,0.99962795
2057549,1.0
244243,1.0
420678,0.9999993
2499570,1.0
580003,1.0
1638002,1.0
221101,1.0
779786,1.0
416505,1.0
1636102,1.0
394965,1.0
2637724,0.99999964
1628675,0.9991997
1328188,0.99999917
2185950,1.0
1809280,1.0
1637649,1.0
2203911,1.0
386234,1.0
3000905,1.0
2462016,1.0
649435,1.0
977740,1.0
1469290,1.0
395660,0.9873905
3001483,1.0
1811691,1.0
1997638,1.0
537438,1.0
266325,1.0
1467649,1.0
348868,1.0
1180020,1.0
1383646,0.99980456
565572,1.0
973726,0.9999999
1400040,0.9658098
581214,1.0
733975,1.0
6185,0.9999989
8605,1.0
2460298,1.0
803013,1.0
399826,0.99992514
1810434,1.0
639524,0.9983719
1089648,0.99999905
1362977,0.99962807
512974,1.0
2895533,1.0
735218,1.0
325256,1.0
401582,0.99892753
2057537,1.0
1874556,1.0
211810,1.0
977796,1.0
1469311,1.0
1333581,0.9836044
736010,1.0
1998967,1.0
2671027,1.0
413435,1.0
781180,1.0
417317,0.9985355
786947,1.0
2151493,1.0
926979,1.0
532123,0.9999999
1300218,1.0
1222061,0.9999871
396279,0.9950014
1917856,1.0
925657,1.0
2656684,1.0
2293319,1.0
537433,0.9999999
1107291,1.0
3000879,1.0
6873,1.0
2651234,0.9992907
