transientid,ML_PROB_REAL,y_true
844750,1.0,1
2673646,2.1164571e-05,0
155823,5.3676538e-27,0
553776,0.0002422633,0
2298829,6.071998e-08,0
2097436,1.0,1
1625671,1.0,1
183529,1.8254698e-22,0
873221,1.0,1
1329976,1.0,1
1813466,9.728706e-05,0
2668712,1.0,1
2084698,1.0,1
504859,0.9999987,1
2057606,1.0,1
2667801,1.0,1
423113,1.0,1
1872028,1.0,1
725,5.692808e-09,0
771882,1.0,1
1094059,3.0414277e-16,0
1629618,1.0,1
537777,1.0,1
1627689,1.0,1
38756,3.2888411e-10,0
150024,0.00033465933,0
617715,0.9999778,1
925577,1.0,1
2467692,3.649893e-05,0
2672592,1.7012043e-10,0
2096188,1.0,1
1627788,0.7644212,1
419758,3.1026968e-05,0
1121697,1.1261263e-08,0
1636331,1.0,1
380966,0.9999796,1
2667236,1.0,1
420118,3.5227753e-05,0
406740,1.0247201e-06,0
2997737,3.1645144e-09,0
267710,1.0,1
202250,1.683579e-26,0
913484,0.00012011516,0
1605562,6.525304e-05,0
1961848,1.0,1
2678369,1.0,1
2648149,1.0,1
644317,8.4706524e-05,0
2894891,1.0,1
2672332,0.021279039,0
1350778,0.9999999,1
1882815,1.0,1
1249209,0.9997887,1
913568,9.647419e-05,0
244040,2.982106e-20,0
155569,1.8913284e-15,0
512870,1.0,1
1871499,1.0,1
2310235,1.0,1
580057,1.0,1
1197518,1.0,1
1089633,1.0,1
1817493,6.408451e-20,0
262656,5.904937e-06,0
375605,1.0,1
2573713,1.3695345e-25,0
569796,2.1358428e-08,0
155869,6.4062855e-17,0
2542912,1.0,1
670333,1.6634207e-24,0
1040764,3.516358e-05,0
653214,1.0,1
2547235,4.0737673e-06,0
580170,3.6964466e-32,0
140402,1.6088948e-23,0
1874532,1.0,1
2442896,1.0,1
2420046,2.353354e-17,0
140877,2.1362418e-23,0
26174,9.1835285e-29,0
573554,0.0001638428,0
913385,1.615486e-10,0
553032,1.1436587e-28,0
2941495,0.2703352,1
1688221,1.9577049e-06,0
421920,0.0003564578,0
637347,0.0005282065,0
2629969,1.0,1
497620,3.6764213e-05,0
904148,1.0,1
350154,1.0,1
2063069,1.0,1
1811186,0.99999726,1
216083,3.63387e-23,0
903830,1.0,1
2355694,5.3700603e-07,0
594860,1.0,1
635056,1.0,1
1204890,2.6952976e-05,0
2668889,1.0,1
403104,0.99999905,1
690848,2.0707375e-05,0
2663674,1.0,1
408241,6.873271e-05,0
40634,2.0468317e-08,0
2515148,1.4036033e-30,0
131030,4.462338e-10,0
1953417,1.0,1
2629781,0.26002353,0
208886,1.0,1
1059502,5.4246107e-07,0
560092,1.0,1
248263,3.4340683e-11,0
2262634,1.0,1
2130046,1.0,1
1249318,1.181024e-05,0
212033,1.0,1
2908902,1.0,1
2206972,1.0,1
239861,1.0,1
2540254,1.0,1
1808237,1.0,1
2070248,1.0,1
1191371,0.99997807,1
207793,0.9995491,1
565483,1.0,1
34762,0.98570377,1
679735,1.1278771e-25,0
2328262,5.0850867e-05,0
576696,1.0,1
1874613,1.0,1
2287799,9.144414e-21,0
1923354,1.0,1
406044,1.0,1
2444773,1.0,1
448074,1.0361694e-14,0
536278,0.9999864,1
1352719,0.0003574547,0
1627963,9.524318e-07,0
297102,0.00019719798,0
2767336,0.002370484,0
1041494,4.4911754e-05,0
1251583,1.0,1
2897922,2.3295026e-20,0
351938,1.0,1
511624,0.99970335,1
1362635,1.0,1
580261,1.0,1
2669067,7.205957e-09,0
977744,1.0,1
1625613,1.0,1
183263,9.665915e-27,0
2553381,0.9788184,1
2014842,1.0,1
911045,2.6097604e-16,0
412975,5.8969796e-05,0
2656479,4.5829574e-06,0
1311317,0.99992526,1
413111,1.0,1
159798,3.7553938e-14,0
392857,1.0,1
2514470,1.3699568e-34,0
6852,0.99999785,1
1253451,1.0,1
798882,1.0,1
1948837,0.9999957,1
211564,5.7659264e-20,0
1350364,1.0,1
2203965,1.0,1
2955764,1.0,1
2123200,1.0,1
1467390,1.0,1
2283091,1.7815873e-05,0
244108,1.0,1
2062324,1.7087066e-10,0
781605,1.0,1
1351103,1.0,1
418748,1.9077643e-06,0
1615931,1.0,1
20855,0.0019277069,0
1328896,1.0,1
517072,2.5388318e-14,0
774122,1.0,1
2108823,1.0,1
791961,3.1021086e-26,0
1876037,0.9999945,1
1248793,2.1142765e-05,0
173966,2.2865008e-11,0
1639368,1.0,1
2638147,1.0,1
2190049,1.0,1
781267,1.0,1
49101,3.6233602e-10,0
2123216,1.0,1
649432,9.770711e-05,0
1931129,2.9001736e-05,0
1994750,1.0,1
2657204,1.0,1
672617,6.2416063e-23,0
2286021,7.1672645e-08,0
1627836,0.061222423,0
2958348,1.853781e-05,0
211679,0.9999999,1
799596,1.0,1
928309,0.9999548,1
185014,2.164125e-06,0
2442952,1.0,1
1900464,0.00038746928,0
198646,1.0,1
1991129,1.0,1
220388,2.0479431e-28,0
3001476,1.0,1
2427693,0.98960423,1
618422,1.0,1
585296,1.0,1
399700,0.00042408603,0
516037,4.5449337e-34,0
2708695,1.7038652e-05,0
2943052,1.0,1
1628678,1.0,1
926843,0.9997925,1
174024,2.7007389e-17,0
1036998,0.0001795064,0
2434806,1.0,1
2062396,9.1927654e-10,0
2456003,2.5239947e-14,0
216458,0.9999995,1
395713,2.2029051e-05,0
820318,0.9913965,1
174328,1.3155698e-21,0
926680,0.99990165,1
1986800,1.0,1
563493,4.1143718e-05,0
217865,0.00021635172,0
1254185,1.0,1
2333202,1.0,1
977001,0.69136417,1
816194,1.0,1
2345469,2.5318833e-10,0
2560121,4.820086e-06,0
2673704,2.1189472e-07,0
1817120,1.951671e-07,0
635005,5.484427e-10,0
820924,0.36642694,0
903397,1.0,1
1469355,1.0,1
386185,1.0,1
1636290,1.0,1
1997509,1.0,1
183676,1.9009597e-26,0
2629802,0.16802353,0
405767,8.9112145e-06,0
417178,3.3829508e-06,0
2330088,4.1500534e-05,0
1817082,1.0,1
216262,2.920398e-23,0
542303,1.0,1
688014,8.369357e-29,0
1328203,0.9999893,1
1120895,1.0,1
623222,2.0914375e-05,0
37214,1.4421276e-11,0
2666679,1.0,1
501416,1.0,1
2638143,1.0,1
928489,7.6789936e-11,0
2633351,7.428804e-05,0
641096,1.6088932e-10,0
1806985,1.0,1
688795,1.9792102e-05,0
1385571,5.748666e-07,0
926714,1.0,1
2683692,1.0,1
401044,0.00091774226,0
2287842,3.9930742e-07,0
2627446,0.00022892405,0
518341,1.1044339e-11,0
504199,8.334641e-06,0
1917800,1.0,1
562790,6.0390213e-35,0
150028,0.0036812534,0
2901854,1.0,1
606556,1.6845957e-09,0
1635670,1.0,1
224242,1.0,1
2942966,1.5175082e-20,0
802330,3.793214e-07,0
404745,1.0,1
1609126,0.998808,1
1917897,1.0,1
383084,6.1075056e-12,0
964424,1.0,1
1620979,1.0,1
902638,2.2109882e-08,0
2431695,1.0,1
2656135,9.731571e-30,0
566619,1.0,1
296141,1.6189707e-06,0
2952673,1.070275e-10,0
855045,1.9346138e-31,0
2051580,1.0,1
207625,1.0,1
1991196,1.0,1
1350359,1.0,1
562122,2.7646153e-14,0
536056,1.5627937e-05,0
2348658,0.00044070123,0
2286146,3.1326935e-19,0
1810368,1.0,1
215839,3.9941506e-29,0
533870,2.2110426e-06,0
2669479,0.98925155,1
796541,1.0,1
536326,0.9999852,1
3002446,1.0,1
2089342,1.0,1
785873,1.0,1
2455951,5.9281935e-09,0
538788,0.99990344,1
1931207,4.1099705e-07,0
2996907,1.0,1
406880,1.5052981e-06,0
2133510,1.0,1
8982,0.99996555,1
227518,1.0,1
2911412,1.0,1
932171,0.997152,1
1285052,0.9999573,1
856998,1.0,1
2753043,1.0,1
509026,0.009865853,0
204463,5.9104903e-09,0
150011,1.0,1
1874617,1.0,1
403814,0.99439394,1
1953815,0.999933,1
132564,4.1015263e-20,0
1950357,1.1221537e-07,0
1871469,1.0,1
534024,1.0,1
904240,1.1417777e-17,0
1629628,1.0,1
2895519,1.0,1
927807,0.9998221,1
1654964,0.9995926,1
3001450,1.0,1
350714,0.00087740546,0
883363,1.0,1
2341192,1.4387737e-10,0
597817,2.451956e-20,0
2900108,1.0,1
540433,0.9999951,1
2679596,2.6964852e-05,0
911290,0.00015925047,0
1119699,0.00012077304,0
1052390,1.0,1
320843,8.689533e-18,0
243448,2.2568813e-07,0
2665000,0.0031184307,0
1319320,1.0,1
1351059,1.0,1
227676,1.0,1
1618432,1.0,1
262534,5.5987286e-05,0
255128,7.037517e-05,0
2780254,2.5307763e-11,0
37809,2.2827364e-06,0
184115,1.0,1
182372,8.611923e-17,0
1635754,1.0,1
471011,0.021322092,0
9454,1.0,1
2905503,8.287245e-11,0
1628067,1.0,1
420630,0.00012535867,0
2651169,0.9898544,1
541058,0.999928,1
37307,0.00039208663,0
735179,1.0,1
228882,5.3596823e-06,0
2541532,1.0,1
604585,1.0,1
885345,0.99999905,1
1095990,1.0,1
608567,3.0489684e-15,0
2133399,1.0,1
410600,7.0969344e-07,0
2185889,1.0,1
928481,0.99999225,1
2340180,1.0,1
563794,9.242048e-06,0
2349069,3.341715e-05,0
123697,6.101207e-08,0
223036,0.0005683183,0
926699,1.0,1
1331912,3.8366318e-07,0
2460460,1.0,1
613539,3.5900477e-08,0
2670993,1.0,1
1964441,1.7437174e-29,0
2666616,0.00016422867,0
2255324,1.6311149e-05,0
1266164,1.0,1
48995,2.924549e-09,0
419468,3.9936554e-06,0
1967615,1.0,1
592642,0.0018524562,0
211812,1.0,1
6530,1.0,1
19671,3.796775e-23,0
457288,1.0,1
2880501,1.0,1
2666798,1.0,1
151715,2.115666e-13,0
211916,0.0,0
268012,1.0,1
913131,1.0,1
1923214,1.0,1
157842,5.3255373e-12,0
2338177,0.99930894,1
353050,1.0,1
418001,4.845623e-05,0
2463739,1.0,1
670415,1.0,1
1326532,1.0,1
2130036,1.0,1
1362891,1.0,1
7787,1.6148247e-35,0
239464,1.0,1
1882904,1.0,1
220500,1.0,1
193283,3.1805797e-13,0
6008,1.0,1
2100276,5.965832e-07,0
1350519,1.0,1
2681050,1.7858734e-07,0
1362836,0.99999976,1
1928349,0.00011692358,0
140972,0.045618527,0
2129130,1.0,1
35399,1.3851417e-10,0
562031,7.924105e-09,0
1197364,3.019957e-07,0
207355,1.0,1
1363152,1.0,1
2221837,8.004225e-11,0
2440362,4.0887603e-06,0
2099218,1.0,1
157800,2.9943104e-15,0
198484,1.7401744e-08,0
781594,1.0,1
1807580,9.2708355e-11,0
562049,2.1400758e-05,0
564876,4.1067844e-36,0
2651345,1.1921304e-05,0
721641,9.65309e-20,0
2547309,1.0,1
2622766,1.3034397e-05,0
2097429,1.0,1
799959,7.861623e-06,0
255150,7.682133e-06,0
363608,4.2195884e-06,0
2498513,6.148666e-14,0
2557766,0.0,0
446682,6.1704006e-14,0
350007,6.672181e-07,0
3000722,0.9999999,1
2880177,1.0,1
2684106,0.99999845,1
2125783,2.0325887e-08,0
406006,4.4890294e-06,0
1917763,0.00030476841,0
220612,7.7817436e-23,0
2357321,1.0782532e-11,0
800015,0.21767992,0
2679955,0.99999833,1
1935997,1.0,1
1492998,1.6788244e-05,0
640553,1.0,1
2671399,1.0,1
7420,3.33996e-31,0
723886,9.466533e-05,0
1105359,4.6774698e-05,0
1246774,4.6367535e-05,0
305334,1.2756935e-08,0
648871,1.0,1
2131587,7.603422e-08,0
2234145,1.0,1
573560,1.4125265e-09,0
228725,4.232596e-07,0
1350717,5.462995e-05,0
530998,9.084739e-12,0
1813923,1.435678e-07,0
2472101,2.5997266e-05,0
1197276,0.011956669,0
1629523,1.0,1
1629624,1.0,1
2330370,1.0,1
2070270,1.0,1
415919,4.098402e-05,0
843905,1.794044e-08,0
569749,4.304658e-15,0
771435,2.5327606e-15,0
565086,1.0,1
860710,0.9999999,1
2444980,1.2672357e-14,0
3001603,1.3244926e-21,0
568673,1.0,1
2670232,1.0,1
601742,1.0,1
131031,1.6484584e-21,0
305357,4.501336e-10,0
860906,1.0,1
629144,1.06103006e-19,0
2360642,0.000111960464,0
588293,1.4123426e-05,0
2649559,1.0,1
2185912,1.0,1
2206976,1.0,1
1628561,0.0025083881,0
658284,2.8914862e-24,0
1222226,0.9999993,1
240548,0.0010453106,0
2051576,1.0,1
541301,0.00013317863,0
2666669,2.6458074e-05,0
644325,4.426469e-05,0
2070295,4.0264962e-07,0
123716,8.454812e-10,0
1310422,1.0,1
537901,2.9121686e-05,0
1871996,0.87232095,1
646406,5.789053e-06,0
130970,4.816044e-15,0
2669460,1.0,1
1192209,1.0,1
18373,2.5852032e-34,0
1328361,0.00022185277,0
604031,6.659982e-07,0
1333487,0.00011480413,0
1349197,5.903434e-06,0
1253408,4.8489707e-10,0
1052427,0.95637,1
2671764,1.0,1
2234130,1.0,1
566124,8.889672e-07,0
1468322,0.9983224,1
2047888,1.0,1
860105,1.0,1
1507694,0.013185927,0
1986799,1.0,1
2095178,1.0,1
1121527,1.0,1
1654943,1.0,1
2910238,1.0019234e-32,0
1873380,1.0,1
422072,2.8172082e-05,0
37520,9.716924e-06,0
1508199,1.0,1
1359308,1.0,1
1362879,1.0,1
1954588,0.99999976,1
221096,1.0,1
2431612,1.0,1
613540,3.884226e-06,0
149686,0.0005654551,0
833438,1.0,1
1984362,1.0,1
2655275,1.9392133e-20,0
1914381,1.0,1
1235696,1.0,1
563545,0.0,0
2672045,1.0,1
533992,0.9997961,1
2649979,5.132652e-05,0
1399981,1.0,1
1265488,1.6845314e-09,0
1918474,2.1192232e-06,0
2656406,1.7033224e-05,0
620540,1.0,1
1322086,1.0,1
2059828,1.0,1
155540,4.82464e-19,0
2119201,1.0,1
7741,1.0,1
3000354,1.0,1
1237571,1.0,1
1362988,1.0,1
527753,0.007537714,0
730230,1.0,1
1248826,0.99999595,1
1871534,1.0,1
927902,4.446481e-19,0
209100,1.0,1
255311,0.0008672618,0
2669675,0.9991671,1
1362728,7.880345e-10,0
2662547,3.261003e-06,0
769518,4.3725633e-30,0
2680387,0.0025366757,0
413634,0.00060086156,0
324814,1.0,1
2902730,1.0,1
2232640,1.0,1
367233,4.2741267e-06,0
5233,0.9998254,1
305377,8.873484e-11,0
542505,7.509535e-09,0
282497,1.0,1
926117,0.9548991,1
1999019,1.0,1
1040426,5.362859e-14,0
151733,5.1827054e-10,0
855028,2.7994877e-33,0
742646,4.850126e-05,0
1992278,3.645113e-17,0
138426,6.9660413e-16,0
248368,0.9999999,1
1877906,8.017566e-06,0
1250916,3.4080513e-05,0
1918424,1.4497959e-05,0
863923,0.868345,1
677679,1.0045899e-19,0
912692,2.7791456e-09,0
215859,1.0,1
719450,6.296778e-23,0
719464,5.6515264e-23,0
692136,1.9648768e-24,0
393788,1.0,1
2951465,0.018221218,0
537087,0.99999976,1
1468887,0.0011519075,0
230988,7.315075e-05,0
1034423,0.9352111,0
1350480,0.999997,1
1203887,9.336219e-05,0
2558836,1.0,1
1193186,1.0,1
2119169,1.0,1
37457,1.0,1
2210420,3.1346986e-10,0
1998911,1.0,1
2578723,0.0016481417,0
565239,1.0,1
2673583,1.7729417e-05,0
239640,1.0,1
2665877,1.0,1
721137,1.0,1
410978,1.0,1
1468463,0.24434234,0
1099484,1.4870453e-05,0
1349164,6.1649284e-06,0
542400,3.1551666e-05,0
929058,0.999998,1
631295,5.4289174e-08,0
1719904,1.0,1
2081976,1.0,1
2549437,1.0,1
2908891,1.0,1
231055,0.0,0
393299,0.98677945,1
780319,7.526848e-06,0
573146,1.0,1
859306,1.0,1
2555948,4.1666888e-05,0
962495,1.0,1
1467571,0.0131364195,0
2398497,2.316666e-09,0
138372,2.3544586e-13,0
2736622,0.0009229862,0
1190108,8.333481e-06,0
562873,1.0,1
554906,9.107866e-08,0
546748,0.00017303653,0
565199,2.8936229e-06,0
2548023,2.0456156e-14,0
545052,1.77518e-05,0
1096168,4.6572504e-06,0
1267383,2.867934e-05,0
1618421,1.0,1
227526,1.0,1
544137,0.001442019,0
1875562,1.0,1
1208855,0.9228803,0
224143,1.0,1
2668836,1.9357346e-06,0
8480,1.176875e-34,0
835969,1.0,1
2659150,8.0736645e-23,0
284712,2.5919373e-12,0
2998014,2.2042532e-10,0
670397,8.836924e-32,0
204720,1.0,1
635102,3.085282e-05,0
2234219,1.44483965e-05,0
552872,2.1485548e-26,0
1350308,0.91736615,1
414924,0.00014331412,0
260474,2.8028953e-05,0
2203884,1.0,1
2089339,1.0,1
1197852,1.1511699e-05,0
862947,3.041399e-06,0
622953,0.9999949,1
7028,1.0,1
9329,0.99995184,1
2683979,0.52062464,1
1097765,0.85586345,1
851343,0.0002881517,0
183204,0.0001215369,0
2577563,1.0,1
7045,0.99999785,1
2729182,4.4283697e-06,0
1622438,1.0,1
2059775,1.0,1
563000,2.2889626e-06,0
40291,1.9773973e-08,0
518699,8.0889855e-08,0
2057555,1.0,1
1052442,1.0,1
2253414,1.7245675e-28,0
911226,0.0019944145,0
1997607,1.0,1
1923071,1.0,1
2658859,1.4241608e-05,0
931281,0.9923637,1
1313384,0.99999976,1
281931,1.8957469e-06,0
772828,1.0,1
2996671,4.6304216e-05,0
1300186,3.520986e-08,0
1507713,1.0,1
2683671,1.0,1
827188,4.201007e-10,0
2761053,0.00012261036,0
2703650,1.0,1
1033983,0.0012483627,0
635260,7.411114e-27,0
2120205,1.0,1
801056,1.0,1
1188801,0.9999924,1
925843,0.0002235114,0
2628278,1.0,1
1923177,1.0,1
361530,6.5712848e-06,0
2527536,1.3965494e-07,0
6071,0.9999888,1
1469242,0.00065888016,0
18423,1.3064797e-33,0
47708,1.3970237e-09,0
2281808,1.0,1
361649,8.794825e-08,0
239885,1.0,1
2169339,1.0,1
41244,4.8837054e-09,0
770512,1.0,1
350003,9.7768905e-05,0
510,4.5623297e-12,0
541119,1.0,1
1316680,3.1104934e-14,0
1663091,0.9999999,1
2427465,1.0,1
551341,0.00016828006,0
798839,1.0,1
497549,0.9996747,1
562565,7.3242875e-37,0
2651161,0.999244,1
2185989,3.65783e-07,0
470433,7.3187745e-10,0
852753,1.8744166e-05,0
799347,1.0,1
693889,2.564171e-06,0
562735,3.9016113e-14,0
637198,0.0013612804,0
2671390,1.0,1
469563,5.5167004e-13,0
794910,1.0,1
2655325,6.03463e-10,0
239536,4.763002e-05,0
644358,2.7094586e-05,0
2350954,1.788555e-05,0
853973,1.0,1
532081,1.0,1
1468965,1.0,1
211835,1.0,1
562131,0.0,0
381886,1.0,1
222982,1.0,1
2345403,1.0,1
386141,1.0,1
1744981,1.0,1
332775,3.2107526e-12,0
1188828,4.795251e-13,0
517881,3.935741e-13,0
2880209,1.1419133e-16,0
1467600,7.860054e-09,1
1089771,1.0,1
745025,1.0,1
1873253,1.0,1
10784,2.8121597e-26,0
1954502,0.999907,1
450433,0.00019799345,0
406068,7.8651544e-07,0
534061,0.9989304,1
1385373,2.426449e-07,0
1816828,1.0,1
559257,2.1178626e-09,0
644327,1.0,1
736013,1.7788761e-05,0
1928506,0.0070752227,0
243394,3.3661433e-08,0
1628072,0.99999833,1
629119,1.0,1
601757,2.4184537e-24,0
5923,0.9998018,1
2553391,1.0,1
499946,1.0,1
2894918,1.0,1
505786,0.7229654,1
1872018,1.0,1
535451,0.99634004,1
2063000,1.0,1
1597919,1.0,1
2996948,1.0,1
925674,0.99997175,1
2590075,1.0152389e-25,0
562846,3.471473e-08,0
2819146,0.008548218,0
411508,0.00016970612,0
1362943,1.0,1
2766208,0.0009552608,0
198412,1.0,1
27259,1.0,1
1121483,1.0,1
2203978,1.0,1
962536,9.919964e-06,0
733880,1.0,1
1204618,1.0,1
2123241,1.0,1
1628618,1.0,1
257586,4.5640545e-06,0
2880168,7.903986e-08,0
1923329,0.9999999,1
1817608,1.0,1
184165,6.809654e-25,0
123803,5.130929e-06,0
1193416,2.8011667e-13,0
2259821,0.0006508643,0
1237786,1.0,1
928932,0.99999976,1
2133474,1.0,1
202712,8.616536e-14,0
2743011,0.0048481966,0
25109,8.615511e-06,0
1097767,2.7449067e-05,0
533591,1.0,1
408154,2.3490125e-05,0
2060943,1.0,1
1385312,3.9756151e-13,0
676035,1.0972625e-09,0
1467546,1.0,1
182676,1.0,1
2573712,1.7369512e-08,0
1984162,1.0,1
1098161,1.0,1
417281,1.5052823e-13,0
751999,1.0,1
1997652,1.0,1
202475,0.0,0
2672633,1.2631352e-07,0
19062,1.0,1
196241,0.0006639504,0
190101,2.428601e-27,0
239801,1.0,1
415936,1.1222024e-05,0
1036860,4.2003225e-07,0
844645,1.7467609e-28,0
926660,0.0014942765,0
1257674,0.9997632,1
2185973,1.0,1
1191201,2.7770535e-12,0
220348,0.005204875,0
2557946,3.0663494e-14,0
6204,1.0,1
2649656,1.0,1
2559430,5.788385e-06,0
2662151,1.2958377e-07,0
1197739,6.3527756e-07,0
1310402,1.0,1
7955,3.6211963e-37,0
220627,0.0008220991,0
733676,1.0,1
2678476,1.0,1
412726,2.8703475e-05,0
2344099,5.7976526e-09,0
2816185,1.9126537e-06,0
7911,1.0,1
2515351,0.025637273,0
723496,0.0005031931,0
2206973,1.0,1
534430,1.2321532e-07,0
795264,0.001412189,0
182219,2.1187396e-20,0
1237361,3.8438243e-06,0
925569,0.99999976,1
176523,3.2058506e-06,0
1810449,1.3150075e-14,0
504942,2.8459084e-09,0
635818,1.0,1
2339435,1.0,1
2669455,1.0,1
1746416,1.0,1
2472829,4.4562308e-05,0
1901119,0.015101281,0
250855,0.002353246,0
1637624,1.0,1
1053463,1.0,1
2911524,6.0525025e-08,0
1069955,1.6483284e-05,0
2763098,0.012068284,0
418033,0.00021078593,0
742597,0.0002907274,0
1625677,1.0,1
2655356,1.5810102e-17,0
596976,1.0,1
1052604,2.6346132e-05,0
2057539,1.0,1
470699,4.2584563e-21,0
2557834,0.0,0
780415,1.0,1
621185,1.0,1
850349,9.1620305e-17,0
1199032,1.0,1
863044,1.0,1
527835,0.99962795,1
1317321,9.276672e-06,0
581168,1.7895404e-07,0
2057549,1.0,1
244243,1.0,1
418749,7.83917e-06,0
420678,0.9999993,1
823522,1.1100211e-35,0
2499570,1.0,1
811676,8.291602e-05,0
580003,1.0,1
228828,1.0266244e-05,0
772982,0.0005200613,0
1638002,1.0,1
221101,1.0,1
2435185,0.011656169,0
779786,1.0,1
416505,1.0,1
1636102,1.0,1
49105,0.000116072864,0
394965,1.0,1
10961,8.573078e-25,0
2637724,0.99999964,1
1628675,0.9991997,1
1328188,0.99999917,1
1885598,0.037817053,0
2185950,1.0,1
1446582,1.6357507e-07,0
470391,9.1999246e-17,0
1809280,1.0,1
607686,9.24644e-07,0
3002953,7.1115664e-09,0
2951986,1.8126844e-05,0
863974,0.14640923,1
1637649,1.0,1
2203911,1.0,1
386234,1.0,1
3000905,1.0,1
2904096,1.3051557e-09,0
181812,8.2462473e-19,0
2462016,1.0,1
649435,1.0,1
977740,1.0,1
1469290,1.0,1
2357336,1.6828944e-08,0
18980,2.4251209e-05,0
395660,0.9873905,1
150047,2.5952609e-20,0
3001483,1.0,1
1811691,1.0,1
350715,0.0025449246,0
783610,6.558993e-10,0
1997638,1.0,1
537438,1.0,1
250830,6.593707e-23,0
2655142,0.0,0
1039909,1.387773e-10,0
1901359,1.3591161e-06,0
266325,1.0,1
1191644,4.1479084e-10,0
580080,1.1965486e-05,0
453115,6.8485275e-07,0
2325353,0.00031067507,0
1467649,1.0,1
348868,1.0,1
1180020,1.0,1
975420,1.40894585e-08,0
5874,6.266192e-26,0
534901,0.00053917716,0
2261760,8.73371e-05,0
1383646,0.99980456,1
565572,1.0,1
2555315,3.5899414e-10,0
2296725,0.85515004,0
973726,0.9999999,1
421793,2.5104706e-05,0
1400040,0.9658098,1
2666201,1.3060101e-06,0
2260887,0.0045660962,0
220676,0.00024262253,0
1900513,0.00051101134,0
581214,1.0,1
733975,1.0,1
6185,0.9999989,1
8605,1.0,1
1625615,0.44930866,0
2460298,1.0,1
803013,1.0,1
527829,0.00049411313,0
798643,2.4868518e-09,0
399826,0.99992514,1
2341254,2.7727438e-13,0
1467345,2.0456841e-06,0
1810434,1.0,1
639524,0.9983719,1
1089648,0.99999905,1
2346631,0.00016575879,0
855702,5.530313e-05,0
1362977,0.99962807,1
512974,1.0,1
2585019,1.886167e-14,0
2740987,1.2120959e-05,0
2895533,1.0,1
7365,7.6044316e-32,0
735218,1.0,1
325256,1.0,1
401582,0.99892753,1
845223,3.1105974e-06,0
2057537,1.0,1
1874556,1.0,1
211810,1.0,1
415767,8.599849e-06,0
580280,2.2099973e-23,0
977796,1.0,1
2563189,7.442534e-08,0
160611,0.0001362052,0
1469311,1.0,1
1069504,1.5128394e-07,0
1333581,0.9836044,1
736010,1.0,1
2341112,3.912936e-06,0
1998967,1.0,1
2671027,1.0,1
248410,2.283229e-25,0
253773,8.131322e-20,0
2911319,4.6739674e-06,0
202683,3.590425e-05,0
413435,1.0,1
1351063,0.004079194,0
2760076,1.7966967e-06,0
140961,6.66688e-15,0
781180,1.0,1
417317,0.9985355,1
792119,6.6306347e-06,0
786947,1.0,1
2489130,4.102458e-31,0
2151493,1.0,1
2996809,2.7668587e-13,0
926979,1.0,1
532123,0.9999999,1
1300218,1.0,1
2777908,1.0257769e-05,0
1811214,2.109731e-20,0
1222061,0.9999871,1
396279,0.9950014,1
1917856,1.0,1
925657,1.0,1
2656684,1.0,1
2298824,4.549747e-07,0
2293319,1.0,1
10867,2.3582031e-06,0
2752990,0.0077372324,0
2996946,1.470621e-23,0
248010,2.7305597e-12,0
835782,0.00017965093,0
537433,0.9999999,1
1107291,1.0,1
3000879,1.0,1
6873,1.0,1
140840,4.1405632e-11,0
2651234,0.9992907,1
